task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
7592,adult,10,0.9141394030158038,lt,48,100
7592,adult,11,0.9141394030158038,lt,48,100
7592,adult,12,0.9141394030158038,lt,48,100
7592,adult,13,0.9141394030158038,lt,48,150
7592,adult,14,0.9141394030158038,lt,48,100
7592,adult,15,0.9118998417188843,lt,56,150
7592,adult,16,0.9138073303617696,none,40,250
7592,adult,17,0.9135153237290101,lt,32,100
7592,adult,18,0.9118998417188843,lt,56,250
7592,adult,19,0.9118998417188843,lt,56,150
7592,adult,20,0.9135153237290101,none,32,100
7592,adult,21,0.9141394030158038,lt,48,100
7592,adult,22,0.9138073303617696,lt,40,100
7592,adult,23,0.9141394030158038,lt,48,150
7592,adult,24,0.9118998417188843,lt,56,100
7592,adult,25,0.9141394030158038,lt,48,150
7592,adult,26,0.9138073303617696,lt,40,100
7592,adult,27,0.9137814692854551,lt,64,250
7592,adult,28,0.9135153237290101,plr,32,150
7592,adult,29,0.9118998417188843,none,56,100
7592,adult,30,0.9141394030158038,lt,48,100
7592,adult,31,0.9141394030158038,lt,48,150
7592,adult,32,0.9138073303617696,lt,40,100
7592,adult,33,0.9141394030158038,lt,48,150
7592,adult,34,0.9118998417188843,lt,56,100
7592,adult,35,0.9138073303617696,pbld,40,200
7592,adult,36,0.9141394030158038,none,48,150
7592,adult,37,0.9135153237290101,plr,32,100
7592,adult,38,0.9137814692854551,lt,64,200
7592,adult,39,0.9138073303617696,pbld,40,100
7592,adult,40,0.9137068925591866,lt,16,150
7592,adult,41,0.9141394030158038,lt,48,100
7592,adult,42,0.9118998417188843,lt,56,100
7592,adult,43,0.9141394030158038,lt,48,100
7592,adult,44,0.9138073303617696,plr,40,150
7592,adult,45,0.9118998417188843,lt,56,100
7592,adult,46,0.9141394030158038,lt,48,100
7592,adult,47,0.9118998417188843,pbld,56,150
7592,adult,48,0.9138073303617696,lt,40,200
7592,adult,49,0.9137814692854551,none,64,100
14965,bank-marketing,0,0.9372977182232203,pbld,16,100
14965,bank-marketing,1,0.9345963541954727,pbld,8,300
14965,bank-marketing,2,0.937494622867112,none,24,200
14965,bank-marketing,3,0.937494622867112,plr,24,150
14965,bank-marketing,4,0.938171450346211,pbld,40,100
14965,bank-marketing,5,0.9378509367262652,lt,64,300
14965,bank-marketing,6,0.9345963541954727,plr,8,200
14965,bank-marketing,7,0.937494622867112,pbld,24,200
14965,bank-marketing,8,0.9378509367262652,plr,64,300
14965,bank-marketing,9,0.9345963541954727,pbld,8,150
14965,bank-marketing,10,0.9391515918246999,lt,48,100
14965,bank-marketing,11,0.9391515918246999,lt,48,100
14965,bank-marketing,12,0.9391515918246999,lt,48,100
14965,bank-marketing,13,0.9391515918246999,lt,48,150
14965,bank-marketing,14,0.9391515918246999,lt,48,100
14965,bank-marketing,15,0.9388501485636838,lt,56,150
14965,bank-marketing,16,0.938171450346211,none,40,250
14965,bank-marketing,17,0.938587131662816,lt,32,100
14965,bank-marketing,18,0.9388501485636838,lt,56,250
14965,bank-marketing,19,0.9388501485636838,lt,56,150
14965,bank-marketing,20,0.938587131662816,none,32,100
14965,bank-marketing,21,0.9391515918246999,lt,48,100
14965,bank-marketing,22,0.938171450346211,lt,40,100
14965,bank-marketing,23,0.9391515918246999,lt,48,150
14965,bank-marketing,24,0.9388501485636838,lt,56,100
14965,bank-marketing,25,0.9391515918246999,lt,48,150
14965,bank-marketing,26,0.938171450346211,lt,40,100
14965,bank-marketing,27,0.9378509367262652,lt,64,250
14965,bank-marketing,28,0.938587131662816,plr,32,150
14965,bank-marketing,29,0.9388501485636838,none,56,100
14965,bank-marketing,30,0.9391515918246999,lt,48,100
14965,bank-marketing,31,0.9391515918246999,lt,48,150
14965,bank-marketing,32,0.938171450346211,lt,40,100
14965,bank-marketing,33,0.9391515918246999,lt,48,150
14965,bank-marketing,34,0.9388501485636838,lt,56,100
14965,bank-marketing,35,0.938171450346211,pbld,40,200
14965,bank-marketing,36,0.9391515918246999,none,48,150
14965,bank-marketing,37,0.938587131662816,plr,32,100
14965,bank-marketing,38,0.9378509367262652,lt,64,200
14965,bank-marketing,39,0.938171450346211,pbld,40,100
14965,bank-marketing,40,0.9372977182232203,lt,16,150
14965,bank-marketing,41,0.9391515918246999,lt,48,100
14965,bank-marketing,42,0.9388501485636838,lt,56,100
14965,bank-marketing,43,0.9391515918246999,lt,48,100
14965,bank-marketing,44,0.938171450346211,plr,40,150
14965,bank-marketing,45,0.9388501485636838,lt,56,100
14965,bank-marketing,46,0.9391515918246999,lt,48,100
14965,bank-marketing,47,0.9388501485636838,pbld,56,150
14965,bank-marketing,48,0.938171450346211,lt,40,200
14965,bank-marketing,49,0.9378509367262652,none,64,100
